"series_key","2020","2021","2022","2023","2024","2025"
"A,I_IUCHAT1,PC_IND,Y65_74,PT",28.74,35.23,39.93,40.07,48.34,48.44
"A,I_IUCHAT1,PC_IND,Y65_74,RO",15.34,21.19,26.44,36.9,36.48,47.55
"A,I_IUCHAT1,PC_IND,Y65_74,SE",42.18,42.69,47.59,49.75,52.4,62.52
"A,I_IUCHAT1,PC_IND,Y65_74,SI",22.01,28.42,27.07,31.52,33.53,45.37
"A,I_IUCHAT1,PC_IND,Y65_74,SK",26.3,29.36,32.23,30.77,35.16,40.92
"A,I_IUOLC,PC_IND,Y16_24,AT",33.58,42.32,37.79,23.25,23.97,27.52
"A,I_IUOLC,PC_IND,Y16_24,BE",39.07,58.31,37.56,30.37,29.07,24.96
"A,I_IUOLC,PC_IND,Y16_24,BG",28.59,28.52,39.03,26.46,24.13,31.57
"A,I_IUOLC,PC_IND,Y16_24,CY",65.73,63.77,52.08,27.93,21.6,35.59
"A,I_IUOLC,PC_IND,Y16_24,CZ",31.6,55.54,34.27,33.74,42.41,35.49
"A,I_IUOLC,PC_IND,Y16_24,DE",17.48,23.61,13.42,11.63,11.78,11.11
"A,I_IUOLC,PC_IND,Y16_24,DK",19.46,25.93,12.36,14.04,11.4,9.54
"A,I_IUOLC,PC_IND,Y16_24,EE",39.92,51.91,33.5,37.01,27.28,26.13
"A,I_IUOLC,PC_IND,Y16_24,EL",48.9,73.2,49.95,28.09,42.72,48.05
"A,I_IUOLC,PC_IND,Y16_24,ES",49.05,45.4,33.62,30.74,36.7,32.68
"A,I_IUOLC,PC_IND,Y16_24,FI",68.02,64.99,60.85,58.49,61.63,57.56
"A,I_IUOLC,PC_IND,Y16_24,FR",NA,51.16,37.59,32.11,26.95,18.2
"A,I_IUOLC,PC_IND,Y16_24,HR",26.31,17.08,14.05,7.13,11.42,29.74
"A,I_IUOLC,PC_IND,Y16_24,HU",22.33,24.35,17.16,13.83,13.46,52.31
"A,I_IUOLC,PC_IND,Y16_24,IE",NA,NA,NA,39.5,32.37,21.5
"A,I_IUOLC,PC_IND,Y16_24,IT",27.06,34.52,37.01,27.94,26.86,27.39
"A,I_IUOLC,PC_IND,Y16_24,LT",55.9,31.43,25.08,21.21,23.82,19.9
"A,I_IUOLC,PC_IND,Y16_24,LU",59.44,51.26,17.94,15.86,14.32,12.06
"A,I_IUOLC,PC_IND,Y16_24,LV",25.59,28.63,15.6,17.18,17.78,13.54
"A,I_IUOLC,PC_IND,Y16_24,MT",38.46,69.8,45.33,49.9,34.21,35.82
"A,I_IUOLC,PC_IND,Y16_24,NL",25.36,78.01,59.43,35.23,36.24,28.34
"A,I_IUOLC,PC_IND,Y16_24,PL",16.4,26.25,9.87,11.97,11.8,11.72
"A,I_IUOLC,PC_IND,Y16_24,PT",25.53,32.3,16.15,18.68,14.78,17.35
"A,I_IUOLC,PC_IND,Y16_24,RO",12.99,24.31,13.65,9.59,9.19,7.17
"A,I_IUOLC,PC_IND,Y16_24,SE",30.51,30.98,20.23,19.32,16.36,22.92
"A,I_IUOLC,PC_IND,Y16_24,SI",12.58,73.27,51.88,33.1,36.66,34.21
"A,I_IUOLC,PC_IND,Y16_24,SK",19.88,27.2,20.74,17.73,24.04,16.33
"A,I_IUOLC,PC_IND,Y25_64,AT",14.87,21.9,20.03,17.55,19.73,18.61
"A,I_IUOLC,PC_IND,Y25_64,BE",16.54,24.44,21.19,21.51,20.71,18.95
"A,I_IUOLC,PC_IND,Y25_64,BG",5.1,5.29,4.59,6.85,5.99,8.13
"A,I_IUOLC,PC_IND,Y25_64,CY",13.11,14.77,12.1,11.27,9.06,16.93
"A,I_IUOLC,PC_IND,Y25_64,CZ",7.7,15.3,17.41,20.13,21.73,20.24
"A,I_IUOLC,PC_IND,Y25_64,DE",12.69,11.97,10.51,9.83,11.34,11.5
"A,I_IUOLC,PC_IND,Y25_64,DK",19.05,25.3,17.57,17.93,17.92,16.88
"A,I_IUOLC,PC_IND,Y25_64,EE",22.33,33.41,28.47,28.87,25.51,25.32
"A,I_IUOLC,PC_IND,Y25_64,EL",10.04,21.84,18.16,11.63,19.81,21.25
"A,I_IUOLC,PC_IND,Y25_64,ES",26.55,29.05,30.48,29.97,33.46,30.19
"A,I_IUOLC,PC_IND,Y25_64,FI",28.13,30.55,30.64,30.14,31.99,29.08
"A,I_IUOLC,PC_IND,Y25_64,FR",NA,13.45,12.88,12.15,13.59,11.42
"A,I_IUOLC,PC_IND,Y25_64,HR",11.23,13.26,12.68,8.99,13.57,10.83
"A,I_IUOLC,PC_IND,Y25_64,HU",12.67,11.79,12.84,13.04,13.13,22.89
"A,I_IUOLC,PC_IND,Y25_64,IE",19.07,32.31,31.09,28.46,39.5,34.08
"A,I_IUOLC,PC_IND,Y25_64,IT",13.86,20.62,19.2,18.61,19.68,21.28
"A,I_IUOLC,PC_IND,Y25_64,LT",12.46,17.18,15.98,16.56,18.58,17.02
"A,I_IUOLC,PC_IND,Y25_64,LU",17.78,25.65,21.14,20.79,24.27,22.47
"A,I_IUOLC,PC_IND,Y25_64,LV",8.68,17.51,15.36,14.47,13.87,13.74
"A,I_IUOLC,PC_IND,Y25_64,MT",19.58,24.82,22.7,23.3,22.38,23.06
"A,I_IUOLC,PC_IND,Y25_64,NL",18.61,40.92,36.02,32.67,35.01,32.29
"A,I_IUOLC,PC_IND,Y25_64,PL",6.77,11.46,9.65,10.69,11.53,12.44
"A,I_IUOLC,PC_IND,Y25_64,PT",15.03,22.24,19.3,17.92,20.54,20.81
"A,I_IUOLC,PC_IND,Y25_64,RO",1.93,2.31,1.93,2.9,2.82,2.39
"A,I_IUOLC,PC_IND,Y25_64,SE",25.12,30.4,28.01,25.93,24.09,26.7
"A,I_IUOLC,PC_IND,Y25_64,SI",10.67,36.24,26.83,22.08,22.98,23.41
"A,I_IUOLC,PC_IND,Y25_64,SK",9.24,16.33,16.43,16.65,15,14.22
"A,I_IUOLC,PC_IND,Y65_74,AT",2.52,3.99,3.09,4.98,4.32,4.05
"A,I_IUOLC,PC_IND,Y65_74,BE",3.64,5.49,3.89,5.25,4.4,4.32
"A,I_IUOLC,PC_IND,Y65_74,BG",0.21,0.3,0.41,0.18,NA,1.05
"A,I_IUOLC,PC_IND,Y65_74,CY",0.59,0.59,0.61,0.62,NA,1.76
"A,I_IUOLC,PC_IND,Y65_74,CZ",1.12,2.17,2.77,1.82,3.66,3.59
"A,I_IUOLC,PC_IND,Y65_74,DE",1.15,2.26,1.93,2.03,2.88,2.63
"A,I_IUOLC,PC_IND,Y65_74,DK",3.07,4.51,3.16,4.15,4.92,4.15
"A,I_IUOLC,PC_IND,Y65_74,EE",3.48,5.67,5.3,8.32,6.69,8.12
"A,I_IUOLC,PC_IND,Y65_74,EL",0.96,2.99,2.34,1.09,NA,4.78
"A,I_IUOLC,PC_IND,Y65_74,ES",4.63,4.32,3.79,6.11,6.57,6.46
"A,I_IUOLC,PC_IND,Y65_74,FI",4.27,6.58,5.49,4.3,5.48,4.06
"A,I_IUOLC,PC_IND,Y65_74,FR",NA,3.36,3.11,2.97,4.1,4.64
