name,city,state,pred_degree,type,region,locale,adm_rate,math_stat,size,cost,student_expend,earnings,debt
California Lutheran University,Thousand Oaks,CA,Bachelors,Private,Far West,City,0.8888,0.0093,2374,63768,11410,68712,21669
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,Bachelors,Public,Far West,Suburb,0.2975,0.0186,21521,29918,11005,90768,18500
Alliant International University-San Diego,San Diego,CA,Associates,Private,Far West,City,0,0,355,NA,9001,66666,12878
California State University-Bakersfield,Bakersfield,CA,Bachelors,Public,Far West,City,0.8819,0.0091,8183,18815,8771,59009,16600
California State University-Stanislaus,Turlock,CA,Bachelors,Public,Far West,Suburb,0.9747,0.0159,8564,18542,10258,63188,13540
California State University-San Bernardino,San Bernardino,CA,Bachelors,Public,Far West,City,0.9825,0.0196,15771,16910,9008,59977,14715
California State Polytechnic University-Pomona,Pomona,CA,Bachelors,Public,Far West,Suburb,0.737,0.0126,24271,22672,7947,71902,16000
California State University-Chico,Chico,CA,Bachelors,Public,Far West,City,0.9372,0.0099,13057,25590,8993,64172,16552
California State University-Dominguez Hills,Carson,CA,Bachelors,Public,Far West,City,0.9132,0.0124,12642,15449,8248,57162,13807
California State University-Fresno,Fresno,CA,Bachelors,Public,Far West,City,0.9638,0.0092,21070,18650,8429,61244,14505
California State University-Fullerton,Fullerton,CA,Bachelors,Public,Far West,Suburb,0.8674,0.0056,36956,16767,7629,62951,13750
California State University-East Bay,Hayward,CA,Bachelors,Public,Far West,Suburb,0.9681,0.0127,10422,22803,8096,71401,16544
California State University-Long Beach,Long Beach,CA,Bachelors,Public,Far West,City,0.4712,0.012,34131,20310,9081,64403,14289
California State University-Los Angeles,Los Angeles,CA,Bachelors,Public,Far West,City,0.9193,0.0066,21478,17153,7683,59211,13000
California State University-Northridge,Northridge,CA,Bachelors,Public,Far West,City,0.9315,0.0068,32357,20317,7702,59115,13872
California State University-Sacramento,Sacramento,CA,Bachelors,Public,Far West,City,0.9362,0.0064,27867,22714,8419,64876,15000
University of California-Berkeley,Berkeley,CA,Bachelors,Public,Far West,City,0.1166,0.0379,33073,42708,21970,92446,13000
University of California-Davis,Davis,CA,Bachelors,Public,Far West,Suburb,0.4163,0.0367,31777,38067,30954,80838,13000
University of California-Irvine,Irvine,CA,Bachelors,Public,Far West,City,0.2557,0.0295,29494,36121,28307,80735,15000
University of California-Los Angeles,Los Angeles,CA,Bachelors,Public,Far West,City,0.0873,0.0815,33040,36643,68050,82511,14000
University of California-Riverside,Riverside,CA,Bachelors,Public,Far West,City,0.633,0.0327,22644,34975,16077,67699,17500
University of California-San Diego,La Jolla,CA,Bachelors,Public,Far West,City,0.2452,0.045,33787,36325,25949,84943,15500
University of California-San Francisco,San Francisco,CA,Graduate,Public,Far West,City,NA,NA,NA,NA,181997,NA,PS
University of California-Santa Barbara,Santa Barbara,CA,Bachelors,Public,Far West,Suburb,0.2778,0.0933,23205,36776,15420,74915,13993
University of California-Santa Cruz,Santa Cruz,CA,Bachelors,Public,Far West,City,0.6254,0.023,17812,38649,12450,68396,16666
Sofia University,Palo Alto,CA,Bachelors,Private,Far West,City,NA,0,7,NA,4594,NA,PS
California Beauty College,Modesto,CA,Associates,Private,Far West,City,NA,0,73,NA,4030,22255,PS
Haven University,Garden Grove,CA,Graduate,Private,Far West,Suburb,NA,0,22,NA,8372,NA,NA
California Hair Design Academy,La Mesa,CA,Associates,Private,Far West,Suburb,NA,0,125,NA,2348,19347,6333
California Institute of the Arts,Valencia,CA,Bachelors,Private,Far West,Suburb,0.2595,0,881,78425,31777,41198,25000
California State University Maritime Academy,Vallejo,CA,Bachelors,Public,Far West,City,0.9873,0,761,27138,25645,94784,24965
California Western School of Law,San Diego,CA,Graduate,Private,Far West,City,NA,NA,NA,NA,13654,NA,PS
Canada College,Redwood City,CA,Associates,Public,Far West,Suburb,NA,0.0063,4878,9514,6521,50087,PS
College of the Canyons,Santa Clarita,CA,Associates,Public,Far West,Suburb,NA,0.0165,15365,10243,7557,49022,9612
Career Academy of Beauty,Garden Grove,CA,Associates,Private,Far West,Suburb,NA,0,207,NA,5702,24410,6333
Casa Loma College-Los Angeles,Sherman Oaks,CA,Associates,Private,Far West,City,0.3641,0,581,NA,6566,49854,26791
CET-San Diego,San Diego,CA,Associates,Private,Far West,City,NA,0,225,NA,9970,32986,7041
CET-San Jose,San Jose,CA,Associates,Private,Far West,City,NA,0,175,NA,18692,32986,7041
CET-El Centro,El Centro,CA,Associates,Private,Far West,City,NA,0,167,NA,12932,32986,7041
CET-Colton,Colton,CA,Associates,Private,Far West,Suburb,NA,0,191,NA,12406,32986,7041
CET-Watsonville,Watsonville,CA,Associates,Private,Far West,City,NA,0,149,NA,11320,32986,7041
CET-Salinas,Salinas,CA,Associates,Private,Far West,City,NA,0,187,NA,8982,32986,7041
Cerritos College,Norwalk,CA,Associates,Public,Far West,Suburb,NA,0.0033,18710,8409,5454,41156,8447
Cerro Coso Community College,Ridgecrest,CA,Associates,Public,Far West,Rural,NA,0.0067,3496,15161,6855,34963,PS
Chabot College,Hayward,CA,Associates,Public,Far West,Suburb,NA,0.0215,10861,12953,8249,48143,9500
Chaffey College,Rancho Cucamonga,CA,Associates,Public,Far West,Suburb,NA,0.0091,13568,13553,6201,42975,PS
Chapman University,Orange,CA,Bachelors,Private,Far West,City,0.5561,0.0097,7629,81327,20788,70070,20500
Charles R Drew University of Medicine and Science,Los Angeles,CA,Bachelors,Private,Far West,Suburb,0.3878,0,233,33973,20559,83438,18750
Concordia University-Irvine,Irvine,CA,Bachelors,Private,Far West,City,0.5986,0.0149,1456,56500,8839,65083,24247
San Diego Christian College,Santee,CA,Bachelors,Private,Far West,Suburb,0.6281,0,91,40057,5296,49766,24941
Church Divinity School of the Pacific,Berkeley,CA,Graduate,Private,Far West,City,NA,NA,NA,NA,25310,NA,PS
Citrus College,Glendora,CA,Associates,Public,Far West,Suburb,NA,0.0062,8126,12412,6051,42065,7851
Citrus Heights Beauty College,Citrus Heights,CA,Associates,Private,Far West,Suburb,NA,0,110,NA,12068,NA,6333
City College of San Francisco,San Francisco,CA,Associates,Public,Far West,City,NA,0.0066,16060,17007,7291,45805,8218
Claremont Graduate University,Claremont,CA,Graduate,Private,Far West,Suburb,NA,NA,NA,NA,28043,64372,PS
