"country_code","country","year","age_group","online_shopping"
"LU","Luxembourg",2021,"Y25_64",83.51
"LU","Luxembourg",2021,"Y65_74",68.11
"LU","Luxembourg",2022,"Y16_24",83.65
"LU","Luxembourg",2022,"Y25_64",84.09
"LU","Luxembourg",2022,"Y65_74",53.89
"LU","Luxembourg",2023,"Y16_24",81.86
"LU","Luxembourg",2023,"Y25_64",83.46
"LU","Luxembourg",2023,"Y65_74",51.22
"LU","Luxembourg",2024,"Y16_24",82.16
"LU","Luxembourg",2024,"Y25_64",83.59
"LU","Luxembourg",2024,"Y65_74",57.24
"LU","Luxembourg",2025,"Y16_24",86.29
"LU","Luxembourg",2025,"Y25_64",82.91
"LU","Luxembourg",2025,"Y65_74",55.57
"LV","Latvia",2020,"Y16_24",78.45
"LV","Latvia",2020,"Y25_64",60.25
"LV","Latvia",2020,"Y65_74",17.95
"LV","Latvia",2021,"Y16_24",85.48
"LV","Latvia",2021,"Y25_64",66.45
"LV","Latvia",2021,"Y65_74",22.36
"LV","Latvia",2022,"Y16_24",85.33
"LV","Latvia",2022,"Y25_64",67.73
"LV","Latvia",2022,"Y65_74",18.31
"LV","Latvia",2023,"Y16_24",78.54
"LV","Latvia",2023,"Y25_64",68.28
"LV","Latvia",2023,"Y65_74",22.49
"LV","Latvia",2024,"Y16_24",83.16
"LV","Latvia",2024,"Y25_64",71.55
"LV","Latvia",2024,"Y65_74",21.66
"LV","Latvia",2025,"Y16_24",85.72
"LV","Latvia",2025,"Y25_64",76.17
"LV","Latvia",2025,"Y65_74",29.7
"MT","Malta",2020,"Y16_24",84.71
"MT","Malta",2020,"Y25_64",67.8
"MT","Malta",2020,"Y65_74",17.42
"MT","Malta",2021,"Y16_24",90.68
"MT","Malta",2021,"Y25_64",68.68
"MT","Malta",2021,"Y65_74",21.08
"MT","Malta",2022,"Y16_24",93.49
"MT","Malta",2022,"Y25_64",72.49
"MT","Malta",2022,"Y65_74",20.62
"MT","Malta",2023,"Y16_24",91.17
"MT","Malta",2023,"Y25_64",72.63
"MT","Malta",2023,"Y65_74",26.68
"MT","Malta",2024,"Y16_24",91.92
"MT","Malta",2024,"Y25_64",72.26
"MT","Malta",2024,"Y65_74",28.44
"MT","Malta",2025,"Y16_24",86.93
"MT","Malta",2025,"Y25_64",76.08
"MT","Malta",2025,"Y65_74",28.01
"NL","Netherlands",2020,"Y16_24",92.68
