SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,NPOPCHG_2025,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,BIRTHS2025,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,DEATHS2025,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,NATURALCHG2025,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,INTERNATIONALMIG2025,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,DOMESTICMIG2025,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,NETMIG2025,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RESIDUAL2025
040,1,1,23,Maine,1364546,1379009,1391585,1401992,1408438,1414874,1328,14463,12576,10407,6446,6436,2994,11592,12056,11925,11615,11783,3713,16133,17964,17066,16801,16802,-719,-4541,-5908,-5141,-5186,-5019,60,1012,3806,5713,6512,4040,1798,18101,14422,9859,5189,7406,1858,19113,18228,15572,11701,11446,189,-109,256,-24,-69,9
040,3,5,24,Maryland,6178387,6176035,6183257,6204927,6245314,6265347,-3253,-2352,7222,21670,40387,20033,17173,67473,69100,67632,65678,65090,16944,59034,57669,54005,54060,53646,229,8439,11431,13627,11618,11444,500,9033,42021,39681,47375,20503,-5036,-21803,-45953,-31484,-18367,-12127,-4536,-12770,-3932,8197,29008,8376,1054,1979,-277,-154,-239,213
040,1,1,25,Massachusetts,6985320,6996721,7025465,7073479,7138560,7154084,-47792,11401,28744,48014,65081,15524,17109,66440,68943,68137,67857,68055,22152,61619,63685,61772,61060,59636,-5043,4821,5258,6365,6797,8419,908,16475,73597,77588,77957,40240,-36863,-9433,-47954,-35360,-19195,-33340,-35955,7042,25643,42228,58762,6900,-6794,-462,-2157,-579,-478,205
040,2,3,26,Michigan,10072294,10042362,10043906,10062124,10099962,10127884,-7068,-29932,1544,18218,37838,27922,26565,102703,104377,100955,99603,99680,31059,115213,117925,106173,103436,104678,-4494,-12510,-13548,-5218,-3833,-4998,409,7044,26316,41616,50486,30706,-4896,-28290,-9107,-17137,-8065,1796,-4487,-21246,17209,24479,42421,32502,1913,3824,-2117,-1043,-750,418
040,2,4,27,Minnesota,5710562,5714055,5727565,5752998,5797405,5830405,3829,3493,13510,25433,44407,33000,16435,62936,64525,62997,61344,62576,12761,51365,53415,49962,49730,50505,3674,11571,11110,13035,11614,12071,295,5523,20302,24846,33360,12486,-1445,-14970,-17106,-11777,-204,8300,-1150,-9447,3196,13069,33156,20786,1305,1369,-796,-671,-363,143
040,3,6,28,Mississippi,2958385,2947603,2941237,2942470,2950172,2954160,-2879,-10782,-6366,1233,7702,3988,8509,35080,34994,35099,33926,33168,9674,41695,40681,35712,35909,35775,-1165,-6615,-5687,-613,-1983,-2607,61,633,5945,5371,14743,7451,-2102,-5392,-6015,-3356,-5106,-917,-2041,-4759,-70,2015,9637,6534,327,592,-609,-169,48,61
040,2,4,29,Missouri,6155074,6172551,6179285,6205956,6243544,6270541,161,17477,6734,26671,37588,26997,17212,68744,68867,68355,67693,68377,16738,75371,75703,68565,66472,68200,474,-6627,-6836,-210,1221,177,271,3860,11263,17573,24076,12665,-783,17735,3624,9682,12385,14028,-512,21595,14887,27255,36461,26693,199,2509,-1317,-374,-94,127
040,4,8,30,Montana,1087156,1106416,1121533,1130612,1137557,1144694,2935,19260,15117,9079,6945,7137,2824,10851,11210,11027,11294,11348,2535,12271,12991,11433,11517,11438,289,-1420,-1781,-406,-223,-90,42,712,798,412,1929,899,2715,20693,15474,9017,5263,6348,2757,21405,16272,9429,7192,7247,-111,-725,626,56,-24,-20
040,2,4,31,Nebraska,1963318,1964697,1972595,1988172,2005591,2018006,1338,1379,7898,15577,17419,12415,6056,24399,24223,24579,24446,24396,4464,19547,19432,18435,18438,18260,1592,4852,4791,6144,6008,6136,97,1581,8356,10738,13082,6599,-762,-5817,-4533,-1074,-1540,-366,-665,-4236,3823,9664,11542,6233,411,763,-716,-231,-131,46
040,4,8,32,Nevada,3116851,3148472,3177672,3211077,3253543,3282188,11258,31621,29200,33405,42466,28645,8153,33340,33523,32747,31894,32511,6990,32360,33461,29391,29163,29460,1163,980,62,3356,2731,3051,137,3613,9198,22304,23171,10551,10328,26050,20116,8165,16473,14914,10465,29663,29314,30469,39644,25465,-370,978,-176,-420,91,129
040,1,1,33,New Hampshire,1378752,1387907,1396647,1401530,1408518,1415342,1179,9155,8740,4883,6988,6824,2993,12067,12328,12098,11794,11911,3492,13729,14712,14334,14214,14078,-499,-1662,-2384,-2236,-2420,-2167,88,1542,1395,2847,4028,2403,1285,8626,9899,4458,5425,6554,1373,10168,11294,7305,9453,8957,305,649,-170,-186,-45,34
040,1,2,34,New Jersey,9270476,9266509,9298402,9395315,9506354,9548215,-18548,-3967,31893,96913,111039,41861,24693,97972,102595,102445,101187,100999,34022,84115,82755,77211,75593,74976,-9329,13857,19840,25234,25594,26023,903,14747,76031,114014,121069,53064,-11063,-34314,-62174,-41714,-35501,-37428,-10160,-19567,13857,72300,85568,15636,941,1743,-1804,-621,-123,202
040,4,8,35,New Mexico,2118446,2117300,2112859,2119349,2126774,2125498,954,-1146,-4441,6490,7425,-1276,5331,21417,21427,21582,20942,20235,5559,24722,25472,22367,22167,22120,-228,-3305,-4045,-785,-1225,-1885,159,2260,4826,9044,10577,2879,718,-978,-4615,-1524,-1874,-2267,877,1282,211,7520,8703,612,305,877,-607,-245,-53,-3
040,1,2,36,New York,20122262,19835345,19713025,19786543,20001419,20002427,-81434,-286917,-122320,73518,214876,1008,53088,205539,209944,205879,205405,203078,72825,177237,176586,166689,161811,160263,-19737,28302,33358,39190,43594,42815,1341,28772,121570,211383,290637,95634,-60244,-326190,-284910,-177852,-119231,-137586,-58903,-297418,-163340,33531,171406,-41952,-2794,-17801,7662,797,-124,145
